alias,date,scenario,value
MURRAY2,2024-10-01 01:00:00,2,0.0
TUMUT3,2024-10-01 00:00:00,2,200.61761434672002
TUMUT3,2024-10-01 01:00:00,2,0.0
UPPTUMUT,2024-10-01 00:00:00,2,68.65138380936
UPPTUMUT,2024-10-01 01:00:00,2,0.0
BASTYAN,2024-10-01 00:00:00,2,32.99121549505
BASTYAN,2024-10-01 01:00:00,2,0.0
CETHANA,2024-10-01 00:00:00,2,35.0587848585
CETHANA,2024-10-01 01:00:00,2,0.0
DEVILS_G,2024-10-01 00:00:00,2,24.8108323614
DEVILS_G,2024-10-01 01:00:00,2,0.0
FISHER,2024-10-01 00:00:00,2,17.7990753897
FISHER,2024-10-01 01:00:00,2,0.0
GORDON,2024-10-01 00:00:00,2,178.44022549775
GORDON,2024-10-01 01:00:00,2,0.0
JBUTTERS,2024-10-01 00:00:00,2,59.51003993929999
JBUTTERS,2024-10-01 01:00:00,2,0.0
LEM_WIL,2024-10-01 00:00:00,2,33.71037005625
LEM_WIL,2024-10-01 01:00:00,2,0.0
LI_WY_CA,2024-10-01 00:00:00,2,72.9941879618
LI_WY_CA,2024-10-01 01:00:00,2,0.0
LK_ECHO,2024-10-01 00:00:00,2,13.39425370235
LK_ECHO,2024-10-01 01:00:00,2,0.0
MACKNTSH,2024-10-01 00:00:00,2,32.99121549505
MACKNTSH,2024-10-01 01:00:00,2,0.0
MEADOWBK,2024-10-01 00:00:00,2,16.5405549076
MEADOWBK,2024-10-01 01:00:00,2,0.0
POAT110,2024-10-01 00:00:00,2,123.8743731667
POAT110,2024-10-01 01:00:00,2,0.0
REECE1,2024-10-01 00:00:00,2,95.4677679993
REECE1,2024-10-01 01:00:00,2,0.0
TARRALEA,2024-10-01 00:00:00,2,37.12635422195
TARRALEA,2024-10-01 01:00:00,2,0.0
TREVALLN,2024-10-01 00:00:00,2,38.38487470405
TREVALLN,2024-10-01 01:00:00,2,0.0
TRIBUTE,2024-10-01 00:00:00,2,34.159841657
TRIBUTE,2024-10-01 01:00:00,2,0.0
TUNGATIN,2024-10-01 00:00:00,2,51.5993397661
TUNGATIN,2024-10-01 01:00:00,2,0.0
DARTM1,2024-10-01 00:00:00,2,56.37796724
DARTM1,2024-10-01 01:00:00,2,0.0
EILDON1,2024-10-01 00:00:00,2,27.50122293
EILDON1,2024-10-01 01:00:00,2,0.0
HUMEV,2024-10-01 00:00:00,2,15.62333216
HUMEV,2024-10-01 01:00:00,2,0.0
HUMENSW,2024-10-01 00:00:00,2,15.62333216
HUMENSW,2024-10-01 01:00:00,2,0.0
MCKAY1,2024-10-01 00:00:00,2,41.03659746
MCKAY1,2024-10-01 01:00:00,2,0.0
WKIEWA1,2024-10-01 00:00:00,2,9.300884432
WKIEWA1,2024-10-01 01:00:00,2,0.0
BARRON-1,2024-10-01 00:00:00,2,7.483368617
BARRON-1,2024-10-01 01:00:00,2,0.0
KAREEYA1,2024-10-01 00:00:00,2,51.23944691
KAREEYA1,2024-10-01 01:00:00,2,0.0
BORUMBA,2024-10-01 00:00:00,2,0.0
BORUMBA,2024-10-01 01:00:00,2,0.0
KIDSTON,2024-10-01 00:00:00,2,0.0
KIDSTON,2024-10-01 01:00:00,2,0.0
SHGEN,2024-10-01 00:00:00,2,0.0
SHGEN,2024-10-01 01:00:00,2,0.0
SNOWY2,2024-10-01 00:00:00,2,0.0
SNOWY2,2024-10-01 01:00:00,2,0.0
WHOE1,2024-10-01 00:00:00,2,0.0
WHOE1,2024-10-01 01:00:00,2,0.0
BOTN,2024-10-01 00:00:00,2,0.0
BOTN,2024-10-01 01:00:00,2,0.0
BLOWERNG,2024-11-01 00:00:00,2,4.315148991199999
BLOWERNG,2024-11-01 01:00:00,2,0.0
GUTHEGA,2024-11-01 00:00:00,2,3.2418378208
GUTHEGA,2024-11-01 01:00:00,2,0.0
MURRAY1,2024-11-01 00:00:00,2,51.2779887736
MURRAY1,2024-11-01 01:00:00,2,0.0
MURRAY2,2024-11-01 00:00:00,2,29.789861056
MURRAY2,2024-11-01 01:00:00,2,0.0
TUMUT3,2024-11-01 00:00:00,2,97.1675173856
TUMUT3,2024-11-01 01:00:00,2,0.0
UPPTUMUT,2024-11-01 00:00:00,2,33.25074197279999
UPPTUMUT,2024-11-01 01:00:00,2,0.0
BASTYAN,2024-11-01 00:00:00,2,20.47922369815
BASTYAN,2024-11-01 01:00:00,2,0.0
CETHANA,2024-11-01 00:00:00,2,21.7626627855
CETHANA,2024-11-01 01:00:00,2,0.0
DEVILS_G,2024-11-01 00:00:00,2,15.4012690482
DEVILS_G,2024-11-01 01:00:00,2,0.0
FISHER,2024-11-01 00:00:00,2,11.048736491100001
FISHER,2024-11-01 01:00:00,2,0.0
GORDON,2024-11-01 00:00:00,2,110.76637340825
GORDON,2024-11-01 01:00:00,2,0.0
JBUTTERS,2024-11-01 00:00:00,2,36.940725035899995
JBUTTERS,2024-11-01 01:00:00,2,0.0
LEM_WIL,2024-11-01 00:00:00,2,20.92563729375
LEM_WIL,2024-11-01 01:00:00,2,0.0
LI_WY_CA,2024-11-01 00:00:00,2,45.3109799534
LI_WY_CA,2024-11-01 01:00:00,2,0.0
LK_ECHO,2024-11-01 00:00:00,2,8.31445321805
LK_ECHO,2024-11-01 01:00:00,2,0.0
MACKNTSH,2024-11-01 00:00:00,2,20.47922369815
MACKNTSH,2024-11-01 01:00:00,2,0.0
MEADOWBK,2024-11-01 00:00:00,2,10.2675126988
MEADOWBK,2024-11-01 01:00:00,2,0.0
POAT110,2024-11-01 00:00:00,2,76.8947418421
POAT110,2024-11-01 01:00:00,2,0.0
REECE1,2024-11-01 00:00:00,2,59.2614048159
REECE1,2024-11-01 01:00:00,2,0.0
TARRALEA,2024-11-01 00:00:00,2,23.046101872850002
TARRALEA,2024-11-01 01:00:00,2,0.0
TREVALLN,2024-11-01 00:00:00,2,23.827325665150003
TREVALLN,2024-11-01 01:00:00,2,0.0
TRIBUTE,2024-11-01 00:00:00,2,21.204645791
TRIBUTE,2024-11-01 01:00:00,2,0.0
TUNGATIN,2024-11-01 00:00:00,2,32.0301754843
TUNGATIN,2024-11-01 01:00:00,2,0.0
DARTM1,2024-11-01 00:00:00,2,32.64928739
DARTM1,2024-11-01 01:00:00,2,0.0
EILDON1,2024-11-01 00:00:00,2,12.11873663
EILDON1,2024-11-01 01:00:00,2,0.0
HUMEV,2024-11-01 00:00:00,2,10.50345605
HUMEV,2024-11-01 01:00:00,2,0.0
HUMENSW,2024-11-01 00:00:00,2,10.50345605
HUMENSW,2024-11-01 01:00:00,2,0.0
MCKAY1,2024-11-01 00:00:00,2,23.44546834
MCKAY1,2024-11-01 01:00:00,2,0.0
WKIEWA1,2024-11-01 00:00:00,2,5.313880901
WKIEWA1,2024-11-01 01:00:00,2,0.0
BARRON-1,2024-11-01 00:00:00,2,5.20354831
BARRON-1,2024-11-01 01:00:00,2,0.0
KAREEYA1,2024-11-01 00:00:00,2,36.38009037
KAREEYA1,2024-11-01 01:00:00,2,0.0
BORUMBA,2024-11-01 00:00:00,2,0.0
BORUMBA,2024-11-01 01:00:00,2,0.0
KIDSTON,2024-11-01 00:00:00,2,0.0
KIDSTON,2024-11-01 01:00:00,2,0.0
SHGEN,2024-11-01 00:00:00,2,0.0
SHGEN,2024-11-01 01:00:00,2,0.0
SNOWY2,2024-11-01 00:00:00,2,0.0
SNOWY2,2024-11-01 01:00:00,2,0.0
WHOE1,2024-11-01 00:00:00,2,0.0
WHOE1,2024-11-01 01:00:00,2,0.0
BOTN,2024-11-01 00:00:00,2,0.0
BOTN,2024-11-01 01:00:00,2,0.0
BLOWERNG,2024-12-01 00:00:00,2,6.30142714848
BLOWERNG,2024-12-01 01:00:00,2,0.0
GUTHEGA,2024-12-01 00:00:00,2,4.7340670963200004
GUTHEGA,2024-12-01 01:00:00,2,0.0
MURRAY1,2024-12-01 00:00:00,2,74.88142616544
MURRAY1,2024-12-01 01:00:00,2,0.0
MURRAY2,2024-12-01 00:00:00,2,43.502238182400006
MURRAY2,2024-12-01 01:00:00,2,0.0
TUMUT3,2024-12-01 00:00:00,2,141.89406513024
TUMUT3,2024-12-01 01:00:00,2,0.0
UPPTUMUT,2024-12-01 00:00:00,2,48.55617467712
UPPTUMUT,2024-12-01 01:00:00,2,0.0
BASTYAN,2024-12-01 00:00:00,2,14.317308275390001
BASTYAN,2024-12-01 01:00:00,2,0.0
CETHANA,2024-12-01 00:00:00,2,15.2145782763
CETHANA,2024-12-01 01:00:00,2,0.0
DEVILS_G,2024-12-01 00:00:00,2,10.76724001092
DEVILS_G,2024-12-01 01:00:00,2,0.0
FISHER,2024-12-01 00:00:00,2,7.72432435566
FISHER,2024-12-01 01:00:00,2,0.0
GORDON,2024-12-01 00:00:00,2,77.43830225245
GORDON,2024-12-01 01:00:00,2,0.0
JBUTTERS,2024-12-01 00:00:00,2,25.825771330539997
JBUTTERS,2024-12-01 01:00:00,2,0.0
LEM_WIL,2024-12-01 00:00:00,2,14.62940218875
LEM_WIL,2024-12-01 01:00:00,2,0.0
LI_WY_CA,2024-12-01 00:00:00,2,31.677532206039995
LI_WY_CA,2024-12-01 01:00:00,2,0.0
LK_ECHO,2024-12-01 00:00:00,2,5.81274913633
LK_ECHO,2024-12-01 01:00:00,2,0.0
MACKNTSH,2024-12-01 00:00:00,2,14.317308275390001
MACKNTSH,2024-12-01 01:00:00,2,0.0
MEADOWBK,2024-12-01 00:00:00,2,7.17816000728
MEADOWBK,2024-12-01 01:00:00,2,0.0
POAT110,2024-12-01 00:00:00,2,53.75817657626
POAT110,2024-12-01 01:00:00,2,0.0
REECE1,2024-12-01 00:00:00,2,41.43046699854
REECE1,2024-12-01 01:00:00,2,0.0
TARRALEA,2024-12-01 00:00:00,2,16.11184827721
TARRALEA,2024-12-01 01:00:00,2,0.0
TREVALLN,2024-12-01 00:00:00,2,16.65801262559
TREVALLN,2024-12-01 01:00:00,2,0.0
TRIBUTE,2024-12-01 00:00:00,2,14.824460884599999
TRIBUTE,2024-12-01 01:00:00,2,0.0
TUNGATIN,2024-12-01 00:00:00,2,22.392738283579998
TUNGATIN,2024-12-01 01:00:00,2,0.0
DARTM1,2024-12-01 00:00:00,2,26.35390809
DARTM1,2024-12-01 01:00:00,2,0.0
EILDON1,2024-12-01 00:00:00,2,11.75730216
EILDON1,2024-12-01 01:00:00,2,0.0
HUMEV,2024-12-01 00:00:00,2,9.004059711
HUMEV,2024-12-01 01:00:00,2,0.0
HUMENSW,2024-12-01 00:00:00,2,9.004059711
HUMENSW,2024-12-01 01:00:00,2,0.0
MCKAY1,2024-12-01 00:00:00,2,20.00372855
MCKAY1,2024-12-01 01:00:00,2,0.0
WKIEWA1,2024-12-01 00:00:00,2,4.533815641
WKIEWA1,2024-12-01 01:00:00,2,0.0
BARRON-1,2024-12-01 00:00:00,2,18.92821302
BARRON-1,2024-12-01 01:00:00,2,0.0
KAREEYA1,2024-12-01 00:00:00,2,45.05981512
KAREEYA1,2024-12-01 01:00:00,2,0.0
BORUMBA,2024-12-01 00:00:00,2,0.0
BORUMBA,2024-12-01 01:00:00,2,0.0
KIDSTON,2024-12-01 00:00:00,2,0.0
KIDSTON,2024-12-01 01:00:00,2,0.0
SHGEN,2024-12-01 00:00:00,2,0.0
SHGEN,2024-12-01 01:00:00,2,0.0
SNOWY2,2024-12-01 00:00:00,2,0.0
SNOWY2,2024-12-01 01:00:00,2,0.0
WHOE1,2024-12-01 00:00:00,2,0.0
WHOE1,2024-12-01 01:00:00,2,0.0
BOTN,2024-12-01 00:00:00,2,0.0
BOTN,2024-12-01 01:00:00,2,0.0
BLOWERNG,2025-01-07 00:00:00,2,5.43638324194
BLOWERNG,2025-01-07 01:00:00,2,0.0
GUTHEGA,2025-01-07 00:00:00,2,4.084186394960001
GUTHEGA,2025-01-07 01:00:00,2,0.0
MURRAY1,2025-01-07 00:00:00,2,64.60189426082
MURRAY1,2025-01-07 01:00:00,2,0.0
MURRAY2,2025-01-07 00:00:00,2,37.5303614672
